Training Log1
Optimizer: Adam, Batch Size: 32, Learning Rate: 0.001
Epoch 1/20, Train Loss: 1.7767, Test Loss: 1.6707, Accuracy: 43.21%
Epoch 2/20, Train Loss: 1.7951, Test Loss: 1.6083, Accuracy: 45.17%
Epoch 3/20, Train Loss: 1.7892, Test Loss: 1.5992, Accuracy: 45.13%
Epoch 4/20, Train Loss: 1.7690, Test Loss: 1.6357, Accuracy: 45.08%
Epoch 5/20, Train Loss: 1.7445, Test Loss: 1.5688, Accuracy: 46.74%
Epoch 6/20, Train Loss: 1.7306, Test Loss: 1.6253, Accuracy: 45.90%
Epoch 7/20, Train Loss: 1.7095, Test Loss: 1.6004, Accuracy: 46.17%
Epoch 8/20, Train Loss: 1.6888, Test Loss: 1.5495, Accuracy: 47.82%
Epoch 9/20, Train Loss: 1.6813, Test Loss: 1.5692, Accuracy: 46.51%
Epoch 10/20, Train Loss: 1.6556, Test Loss: 1.5693, Accuracy: 47.88%
Epoch 11/20, Train Loss: 1.6375, Test Loss: 1.5664, Accuracy: 48.05%
Epoch 12/20, Train Loss: 1.6263, Test Loss: 1.5783, Accuracy: 48.09%
Epoch 13/20, Train Loss: 1.6190, Test Loss: 1.5658, Accuracy: 48.46%
Epoch 14/20, Train Loss: 1.5971, Test Loss: 1.5260, Accuracy: 48.20%
Epoch 15/20, Train Loss: 1.5884, Test Loss: 1.5133, Accuracy: 49.05%
Epoch 16/20, Train Loss: 1.5772, Test Loss: 1.5627, Accuracy: 49.19%
Epoch 17/20, Train Loss: 1.5633, Test Loss: 1.5187, Accuracy: 49.10%
Epoch 18/20, Train Loss: 1.5493, Test Loss: 1.4867, Accuracy: 50.15%
Epoch 19/20, Train Loss: 1.5360, Test Loss: 1.5296, Accuracy: 49.73%
Epoch 20/20, Train Loss: 1.5182, Test Loss: 1.5719, Accuracy: 49.12%

Optimizer: Adam, Batch Size: 64, Learning Rate: 0.001
Epoch 1/20, Train Loss: 1.8294, Test Loss: 1.5599, Accuracy: 46.24%
Epoch 2/20, Train Loss: 1.7033, Test Loss: 1.5850, Accuracy: 44.87%
Epoch 3/20, Train Loss: 1.6616, Test Loss: 1.5351, Accuracy: 46.40%
Epoch 4/20, Train Loss: 1.6366, Test Loss: 1.5228, Accuracy: 47.64%
Epoch 5/20, Train Loss: 1.6173, Test Loss: 1.4946, Accuracy: 47.97%
Epoch 6/20, Train Loss: 1.5848, Test Loss: 1.5024, Accuracy: 47.83%
Epoch 7/20, Train Loss: 1.5673, Test Loss: 1.4649, Accuracy: 49.52%
Epoch 8/20, Train Loss: 1.5466, Test Loss: 1.5472, Accuracy: 47.72%
Epoch 9/20, Train Loss: 1.5266, Test Loss: 1.5233, Accuracy: 47.88%
Epoch 10/20, Train Loss: 1.5152, Test Loss: 1.4608, Accuracy: 49.86%
Epoch 11/20, Train Loss: 1.4965, Test Loss: 1.4366, Accuracy: 50.63%
Epoch 12/20, Train Loss: 1.4743, Test Loss: 1.4416, Accuracy: 50.81%
Epoch 13/20, Train Loss: 1.4637, Test Loss: 1.4524, Accuracy: 49.90%
Epoch 14/20, Train Loss: 1.4603, Test Loss: 1.4613, Accuracy: 50.38%
Epoch 15/20, Train Loss: 1.4351, Test Loss: 1.4622, Accuracy: 50.31%
