training_log2.txt
Optimizer: Adam, Batch Size: 64, Learning Rate: 0.001
Epoch 1/20, Train Loss: 1.7529, Test Loss: 1.5593, Accuracy: 45.24%
Epoch 2/20, Train Loss: 1.5894, Test Loss: 1.4512, Accuracy: 48.56%
Epoch 3/20, Train Loss: 1.5172, Test Loss: 1.4226, Accuracy: 49.83%
Epoch 4/20, Train Loss: 1.4519, Test Loss: 1.4154, Accuracy: 50.16%
Epoch 5/20, Train Loss: 1.4058, Test Loss: 1.3988, Accuracy: 50.59%
Epoch 6/20, Train Loss: 1.3522, Test Loss: 1.3848, Accuracy: 51.79%
Epoch 7/20, Train Loss: 1.3100, Test Loss: 1.3826, Accuracy: 51.82%
Epoch 8/20, Train Loss: 1.2746, Test Loss: 1.3752, Accuracy: 52.89%
Epoch 9/20, Train Loss: 1.2353, Test Loss: 1.3911, Accuracy: 52.32%
Epoch 10/20, Train Loss: 1.1888, Test Loss: 1.4047, Accuracy: 52.95%
Epoch 11/20, Train Loss: 1.1618, Test Loss: 1.4060, Accuracy: 52.61%
Epoch 12/20, Train Loss: 1.1280, Test Loss: 1.4330, Accuracy: 53.60%
Epoch 13/20, Train Loss: 1.0962, Test Loss: 1.4599, Accuracy: 52.98%
Epoch 14/20, Train Loss: 1.0703, Test Loss: 1.4605, Accuracy: 53.39%
Epoch 15/20, Train Loss: 1.0352, Test Loss: 1.4922, Accuracy: 52.96%
Epoch 16/20, Train Loss: 1.0136, Test Loss: 1.5138, Accuracy: 53.44%
Epoch 17/20, Train Loss: 0.9823, Test Loss: 1.4979, Accuracy: 54.29%
Epoch 18/20, Train Loss: 0.9590, Test Loss: 1.5214, Accuracy: 54.35%
Epoch 19/20, Train Loss: 0.9343, Test Loss: 1.5303, Accuracy: 53.47%
Epoch 20/20, Train Loss: 0.9121, Test Loss: 1.5998, Accuracy: 53.40%
Optimizer: Adam, Batch Size: 32, Learning Rate: 0.001
Epoch 1/10, Train Loss: 1.7964, Test Loss: 1.6002, Accuracy: 42.76%
Epoch 2/10, Train Loss: 1.6566, Test Loss: 1.5202, Accuracy: 46.19%
Epoch 3/10, Train Loss: 1.5874, Test Loss: 1.4830, Accuracy: 47.03%
Epoch 4/10, Train Loss: 1.5348, Test Loss: 1.4843, Accuracy: 48.56%
Epoch 5/10, Train Loss: 1.4865, Test Loss: 1.4971, Accuracy: 47.89%
Epoch 6/10, Train Loss: 1.4490, Test Loss: 1.4474, Accuracy: 49.52%
Epoch 7/10, Train Loss: 1.4130, Test Loss: 1.4544, Accuracy: 48.67%
Epoch 8/10, Train Loss: 1.3808, Test Loss: 1.4512, Accuracy: 50.20%
Epoch 9/10, Train Loss: 1.3501, Test Loss: 1.4854, Accuracy: 49.31%
Epoch 10/10, Train Loss: 1.3149, Test Loss: 1.4770, Accuracy: 50.21%
Optimizer: SGD, Batch Size: 32, Learning Rate: 0.01
Epoch 1/10, Train Loss: 1.9318, Test Loss: 1.7062, Accuracy: 39.94%
Epoch 2/10, Train Loss: 1.6748, Test Loss: 1.5769, Accuracy: 44.74%
Epoch 3/10, Train Loss: 1.5741, Test Loss: 1.5015, Accuracy: 47.71%
Epoch 4/10, Train Loss: 1.4999, Test Loss: 1.4509, Accuracy: 48.62%
Epoch 5/10, Train Loss: 1.4342, Test Loss: 1.4059, Accuracy: 50.38%
Epoch 6/10, Train Loss: 1.3801, Test Loss: 1.3789, Accuracy: 51.50%
Epoch 7/10, Train Loss: 1.3339, Test Loss: 1.3618, Accuracy: 51.86%
Epoch 8/10, Train Loss: 1.2911, Test Loss: 1.3448, Accuracy: 52.81%
Epoch 9/10, Train Loss: 1.2496, Test Loss: 1.3085, Accuracy: 53.77%
Epoch 10/10, Train Loss: 1.2120, Test Loss: 1.3153, Accuracy: 53.52%
Epoch 1/10, Train Loss: 1.1757, Test Loss: 1.3128, Accuracy: 53.95%
Epoch 2/10, Train Loss: 1.1413, Test Loss: 1.3092, Accuracy: 54.01%
Epoch 3/10, Train Loss: 1.1149, Test Loss: 1.3086, Accuracy: 54.43%
Epoch 4/10, Train Loss: 1.0782, Test Loss: 1.3028, Accuracy: 54.61%
Epoch 5/10, Train Loss: 1.0457, Test Loss: 1.2943, Accuracy: 54.92%
Epoch 6/10, Train Loss: 1.0169, Test Loss: 1.2959, Accuracy: 55.02%
Epoch 7/10, Train Loss: 0.9873, Test Loss: 1.3302, Accuracy: 53.98%
Epoch 8/10, Train Loss: 0.9595, Test Loss: 1.3167, Accuracy: 55.31%
Epoch 9/10, Train Loss: 0.9307, Test Loss: 1.2979, Accuracy: 55.55%
Epoch 10/10, Train Loss: 0.9023, Test Loss: 1.2989, Accuracy: 56.24%
